GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
taxi-booking-system,com.example.taxibooking.service,BillService,0,99,0,2,0,19,0,5,0,4
taxi-booking-system,com.example.taxibooking.service,UserService,5,177,0,4,0,40,1,9,1,7
taxi-booking-system,com.example.taxibooking.service,BookingService,28,138,3,5,5,31,3,11,1,9
taxi-booking-system,com.example.taxibooking.service,TaxiService,7,48,0,0,0,12,1,3,1,3
taxi-booking-system,com.example.taxibooking.security,JwtAuthenticationFilter,63,9,10,0,15,1,6,1,1,1
taxi-booking-system,com.example.taxibooking.security,JwtService,22,93,4,0,4,23,3,8,1,8
taxi-booking-system,com.example.taxibooking.security,SecurityConfig,0,57,0,0,0,15,0,2,0,2
taxi-booking-system,com.example.taxibooking.security,ApplicationConfiguration,13,27,0,0,2,7,2,4,2,4
taxi-booking-system,com.example.taxibooking.contract.request,TaxiRequest,0,24,0,0,0,5,0,5,0,5
taxi-booking-system,com.example.taxibooking.contract.request,LoginRequest,0,18,0,0,0,4,0,4,0,4
taxi-booking-system,com.example.taxibooking.contract.request,SignUpRequest,0,21,0,0,0,4,0,4,0,4
taxi-booking-system,com.example.taxibooking.contract.request,UpdateAccountRequest,0,12,0,0,0,3,0,3,0,3
taxi-booking-system,com.example.taxibooking.contract.request,BillRequest,35,46,9,5,0,4,9,6,2,6
taxi-booking-system,com.example.taxibooking.contract.request,BookingRequest,0,15,0,0,0,3,0,3,0,3
taxi-booking-system,com.example.taxibooking.model,User.UserBuilder,12,42,0,0,0,1,1,7,1,7
taxi-booking-system,com.example.taxibooking.model,Booking,63,37,0,0,10,3,18,3,18,3
taxi-booking-system,com.example.taxibooking.model,Taxi,9,25,0,0,3,4,3,4,3,4
taxi-booking-system,com.example.taxibooking.model,Booking.BookingBuilder,40,50,0,0,0,1,5,7,5,7
taxi-booking-system,com.example.taxibooking.model,User,13,40,0,0,6,8,6,8,6,8
taxi-booking-system,com.example.taxibooking.model,Taxi.TaxiBuilder,15,30,0,0,0,1,2,5,2,5
taxi-booking-system,com.example.taxibooking.constant,Status,0,15,0,0,0,3,0,1,0,1
taxi-booking-system,com.example.taxibooking.contract.response,BookingResponse,0,36,0,0,0,7,0,7,0,7
taxi-booking-system,com.example.taxibooking.contract.response,SignUpResponse,3,21,0,0,1,4,1,4,1,4
taxi-booking-system,com.example.taxibooking.contract.response,UpdateAccountResponse,3,21,0,0,1,4,1,4,1,4
taxi-booking-system,com.example.taxibooking.contract.response,TaxiResponse,0,30,0,0,0,6,0,6,0,6
taxi-booking-system,com.example.taxibooking.contract.response,LoginResponse.LoginResponseBuilder,4,14,0,0,0,1,1,3,1,3
taxi-booking-system,com.example.taxibooking.contract.response,LoginResponse,41,44,9,5,0,5,10,6,3,6
taxi-booking-system,com.example.taxibooking.contract.response,BillResponse,0,15,0,0,0,3,0,3,0,3
taxi-booking-system,com.example.taxibooking,TaxiBookingApplication,0,21,0,0,0,8,0,3,0,3
taxi-booking-system,com.example.taxibooking.controller,BookingController,0,32,0,0,0,7,0,6,0,6
taxi-booking-system,com.example.taxibooking.controller,UserController,0,30,0,0,0,5,0,5,0,5
taxi-booking-system,com.example.taxibooking.controller,BillController,7,11,0,0,1,2,1,2,1,2
taxi-booking-system,com.example.taxibooking.controller,TaxiController,0,16,0,0,0,3,0,3,0,3
taxi-booking-system,com.example.taxibooking.exception,EntityAlreadyExistsException,6,11,0,0,2,4,2,1,2,1
taxi-booking-system,com.example.taxibooking.exception,EntityNotFoundException,0,24,0,0,0,8,0,2,0,2
taxi-booking-system,com.example.taxibooking.exception,InsufficientBalanceException,0,4,0,0,0,2,0,1,0,1
taxi-booking-system,com.example.taxibooking.exception,InvalidUserException,0,5,0,0,0,2,0,1,0,1
